FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
45001,Abbeville,South Carolina,US,2020-03-24 23:37:31,34.22333378,-82.46170658,1,0,0,0,"Abbeville, South Carolina, US"
,,,Bangladesh,2020-03-24 23:37:15,23.685,90.3563,39,4,5,30,Bangladesh
